'31','18436016095010','Alubias Fabada Granja I. - Extra -5kg. ','Faba de Granja I. - Extra   - Saco 5kg. ','5.00','0.00','0.00','0.00','0.00','12','1'
'32','8436016090513',' Alubias Fabada Granja I.- Extra -  Bolsa 500gr. ','Bolsa Plástico con etiqueta Faba de Granja I.- Extra  -  500gr.','0.50','0.00','0.00','0.00','0.00','12','0'
'33','8436016090506','Alubias Fabada Granja. (1:1) - Bolsa 1 Kg. ','Bolsa Plástico con Etiqueta- Faba de Granja I. - Extra A- Primera A - 1 Kg. ','1.00','0.00','0.00','0.00','0.00','12','0'
'34','8436016090605','Paquete Vacio "Orbayu" Alubia de Granja I.- Envase  200gr ','Paquete Vacio "Orbayu" Faba de Granja I. -primera A - Envase  200gr ','0.20','0.00','0.00','0.00','0.00','12','0'
'35','8436016090612','Paquete Vacio "Orbayu" Faba de Granja I. - Extra A Extra B - Envase  400 g.','Paquete Vacio "Orbayu" Faba de Granja I. - Extra A Extra B - Envase  400 g.','0.40','0.00','0.00','0.00','0.00','12','0'
'36','8436016090209','Alubias Fabada Granja I.- Extra   - La Aldea 500gr.','Faba de Granja I. - Extra A  - Saquete tela 500gr. La Aldea','0.50','0.00','0.00','0.00','0.00','12','0'
'37','8436016090216','Alubias Faba  Granja I. - Extra La Aldea 1kg. ','Alubias Faba Granja I. - Extra A  - Saquete tela 1kg. La Aldea','1.00','0.00','0.00','0.00','0.00','12','0'
'38','8436016095426','Alubias Fabada Granja Nacional - Extra  10kg.','Faba Granja Nacional - Extra  - Saco 10kg.','10.00','1.00','0.00','0.00','0.00','12','1'
'39','18436016095433','Alubias Fabada Granja Nacional - Extra  15kg.','Faba Granja Nacional - Extra  - Saco 15kg.','15.00','0.00','0.00','0.00','0.00','12','1'
'40','18436016095440','Alubias Fabada Granja Nacional - Extra  - Saco 25kg.','Faba Granja Nacional - Extra - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','12','1'
'41','18436016095464','Alubias Fabada Granja Nacional - Extra  -  50kg.','Faba Granja Nacional - Extra  - Saco 50kg.','50.00','0.00','0.00','0.00','0.00','12','0'
