'A20120530-1','100','E120528-31','2'
'A20120530-1','39','02150001','2'
'A20120530-1','82','E120528-35','2'
'A20120530-1','91','02151002','2'
'A20120530-1','57','02151001','2'
'A20120530-1','79','E120528-37','2'
'A20120604-2','39','02150001','5'
'A20120604-2','57','02156001','1'
'A20120605-3','109','02157008','1'
'A20120605-3','38','02157007','1'
'A20120605-3','38','02157002','1'
'A20120605-3','137','02157004','10'
'A20120605-3','122','02157003','10'
'A20120605-3','40','02157001','1'
'A20120605-4','100','E120528-31','2'
'A20120605-4','39','02150001','4'
'A20120605-4','82','E120528-35','1'
'A20120605-4','92','02157010','1'
'A20120605-4','57','02157009','1'
'A20120612-5','13','02150002','32'
'A20120612-5','24','02157005','7'
'A20120612-5','21','02160001','3'
'A20120612-5','98','02158007','2'
'A20120612-5','82','E120528-35','2'
'A20120612-6','56','02164002','1'
'A20120612-6','81','E120528-38','1'
'A20120612-6','90','E12066-106','1'
'A20120612-6','100','E120611-108','2'
'A20120612-6','3','02153001','80'
'A20120612-6','13','02150002','31'
'A20120613-7','56','02164001','1'
'A20120613-7','13','02150002','4'
'A20120613-7','139','02165001','1'
'A20120615-8','13','02150002','12'
'A20120615-9','13','02152002','12'
'A20120615-10','67','02163001','2'
'A20120615-11','100','E120611-108','1'
'A20120615-11','39','02150001','2'
'A20120615-11','82','E120528-35','1'
'A20120615-11','91','02151004','1'
'A20120615-12','63','02166005','1'
'A20120615-12','13','02152002','4'
'A20120615-13','136','E120529-90','4'
'A20120615-13','79','E120528-37','1'
'A20120615-13','75','02166002','7'
'A20120615-13','21','02160001','2'
'A20120615-13','109','02166003','6'
'A20120615-13','38','02166004','1'
'A20120615-13','24','02157005','12'
'A20120615-13','98','02158007','2'
'A20120615-13','13','02166001','5'
'A20120621-14','40','02173002','8'
'A20120621-14','109','02173003','2'
'A20120621-15','40','02173004','1'
'A20120621-15','56','02173005','1'
'A20120621-16','40','02173004','3'
'A20120621-17','115','02173006','20'
'A20120622-18','100','E120611-108','1'
'A20120622-18','72','02174002','4'
'A20120622-18','138','02173007','5'
'A20120622-18','13','02150002','2'
'A20120622-18','73','02174001','1'
'A20120622-19','138','02173007','6'
'A20120622-19','73','02174001','1'
'A20120622-19','72','02174002','2'
'A20120622-19','39','02150001','4'
'A20120625-20','20','02174006','200'
'A20120625-20','6','02173001','150'
'A20120625-20','89','02174003','25'
'A20120625-21','138','02173007','10'
'A20120625-21','72','02154001','1'
'A20120625-21','13','02150002','4'
'A20120625-21','73','02153003','1'
'A20120625-22','82','E120528-35','1'
'A20120625-22','100','E120611-108','1'
'A20120625-22','91','02151004','1'
'A20120625-22','39','02150001','1'
'A20120625-22','12','02173009','1'
'A20120625-23','126','02177004','25'
'A20120625-23','58','02177005','1'
'A20120625-23','38','02177003','3'
'A20120626-24','17','02177006','4'
'A20120626-24','21','02177007','4'
'A20120626-24','13','02174004','4'
'A20120626-24','109','02166003','1'
'A20120626-24','58','02178001','1'
'A20120626-24','143','02177008','12'
'A20120626-24','142','02177001','1'
'A20120627-25','142','02177001','1'
'A20120627-25','82','E120528-35','1'
'A20120627-25','81','E120528-38','1'
'A20120627-25','24','02157005','20'
'A20120627-25','58','02178004','2'
'A20120627-25','140','02176001','20'
'A20120627-25','13','02174004','20'
'A20120627-25','13','02150002','3'
'A20120627-25','138','02178005','25'
'A20120627-25','103','E120530-94','20'
'A20120627-25','21','02178003','6'
'A20120627-26','109','02179003','1'
'A20120627-26','56','02179004','1'
'A20120628-27','12','02173009','6'
'A20120628-27','82','E120528-35','1'
'A20120628-27','92','02158005','1'
'A20120628-27','100','E120611-108','1'
'A20120628-27','144','02180001','9'
'A20120628-28','12','02173009','7'
'A20120628-28','144','02180001','10'
'A20120628-29','73','02179001','1'
'A20120628-29','139','02165001','1'
'A20120702-30','12','02173009','4'
'A20120702-30','144','02184001','6'
'A20120702-31','100','E120611-108','1'
'A20120702-31','12','02173009','4'
'A20120702-31','82','E120528-35','1'
'A20120702-31','72','02174002','1'
'A20120702-31','73','02179002','1'
'A20120702-31','91','02151004','1'
'A20120702-31','57','02158004','1'
'A20120702-31','144','02184001','6'
'A20120702-32','109','02184002','16'
'A20120702-32','145','02184003','38'
'A20120703-33','100','E120611-108','1'
'A20120703-33','12','02173009','4'
'A20120703-33','82','E120528-35','1'
'A20120703-33','144','02185001','6'
'A20120703-34','21','02180002','16'
'A20120703-34','144','02185001','200'
'A20120703-34','145','02181004','74'
'A20120704-35','136','E120529-90','264'
'A20120704-36','98','02158007','3'
'A20120704-36','100','E120611-108','3'
'A20120704-36','81','E120528-38','2'
'A20120704-36','82','E120528-35','1'
'A20120704-36','89','02174003','1'
'A20120704-36','139','02165001','2'
'A20120704-36','13','02174004','10'
'A20120704-36','21','02178003','4'
'A20120705-37','143','02187001','25'
'A20120705-37','58','02188001','2'
'A20120705-37','146','02187002','6'
'A20120705-37','21','02187004','2'
'A20120706-38','16','02152003','50'
'A20120706-38','82','E120528-35','30'
'A20120706-38','98','02158007','30'
'A20120706-38','89','02174003','10'
'A20120706-38','6','02173001','100'
'A20120706-39','136','E12074-119','3'
'A20120706-39','8','02188002','3'
'A20120706-39','138','02174005','80'
'A20120706-39','25','02178002','7'
'A20120706-39','38','02188006','2'
'A20120706-39','38','02188003','3'
'A20120706-39','40','02188005','5'
'A20120710-40','82','E120528-35','1'
'A20120710-40','57','02192004','1'
'A20120710-40','13','02174004','4'
'A20120710-40','144','02192003','10'
'A20120712-41','25','02178002','10'
'A20120712-41','13','02192001','16'
'A20120712-41','138','02159001','40'
'A20120712-41','109','02194002','10'
'A20120712-41','58','02194003','2'
'A20120712-42','67','02163001','3'
'A20120712-43','98','02158007','3'
'A20120712-43','82','E120528-35','3'
'A20120712-43','81','E120528-38','3'
'A20120712-43','100','E120611-108','3'
'A20120712-43','89','02174003','1'
'A20120712-43','92','02158005','1'
'A20120712-43','21','02192005','3'
'A20120712-43','25','02192006','20'
'A20120712-43','13','02192001','6'
'A20120713-44','13','02195001','193'
'A20120713-44','25','02195002','12'
'A20120713-44','25','02195005','18'
