'129','BBVA BANCO DE FINANCIACION SA'
'130','BANCO CAIXA GERAL SA'
'131','BANCO ESPIRITO SANTO SA SUCURSAL EN ESPAÑA'
'132','BANCO DE PROMOCION DE NEGOCIOS SA (PROMOBANC)'
'133','MICROBANK DE LA CAIXA SOCIEDAD ANONIMA'
'134','NUEVO BANCO SA'
'135','BANK OF CREDIT AND COMMERCE SAE EN LIQUIDACION'
'136','ARESBANK SA'
'137','BANCO DIRECTO SA'
'138','BANKOA SA'
'139','BANCO DE LOS PIRINEOS SA'
'140','BANCO DEL PAIS SA'
'141','BANQUE INDOSUEZ ESPAÑA SA'
'142','BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA SA'
'143','DRESDNER BANK AG SUCURSAL EN ESPAÑA'
'144','BNP PARIBAS SECURITIES SERVICES SUCURSAL EN ESPAÑA'
'145','DEUTSCHE BANK AG SUCURSAL EN ESPAÑA'
'146','CITIBANK NA SUCURSAL EN ESPAÑA'
'147','MORGAN GUARANTY TRUST COMPANY OF NEW YORK SUCURSAL EN ESPAÑA'
'148','THE CHASE MANHATTAN BANK NA SUCURSAL EN ESPAÑA'
'149','BNP PARIBAS SUCURSAL EN ESPAÑA'
'150','NATIONAL WESTMINSTER BANK PLC SUCURSAL EN ESPAÑA'
'151','JPMORGAN CHASE BANK NATIONAL ASSOCIATION SUCURSAL EN ESPAÑA'
'152','BARCLAYS BANK PLC SUCURSAL EN ESPAÑA'
'153','BANCO SAUDI ESPAÑOL SA (SAUDESBANK) EN LIQUIDACION'
'154','CALYON SUCURSAL EN ESPAÑA'
'155','BANCO DO BRASIL SA SUCURSAL EN ESPAÑA'
'156','THE ROYAL BANK OF SCOTLAND NV SUCURSAL EN ESPAÑA'
'157','CONTINENTAL ILLINOIS NATIONAL BANK & TRUST COMPANY OF CHICAGO SUCURSAL EN ESPAÑA'
'158','CHEMICAL BANK SA SUCURSAL EN ESPAÑA'
'159','COMMERZBANK AKTIENGESELLSCHAFT SUCURSAL EN ESPAÑA'
'160','THE BANK OF TOKYO-MITSUBISHI UFJ LTD SUCURSAL EN ESPAÑA'
'161','DEUTSCHE BANK TRUST COMPANY AMERICAS SUCURSAL EN ESPAÑA'
'162','HSBC BANK PLC SUCURSAL EN ESPAÑA'
'163','UNICREDIT SOCIETA PER AZIONI SUCURSAL EN ESPAÑA'
'164','BANCO STANDARD CHARTERED SUCURSAL EN ESPAÑA'
'165','THE FIRST NATIONAL BANK OF CHICAGO SUCURSAL EN ESPAÑA'
'166','BANCO DO ESTADO DE SAO PAULO SA BANESPA SUCURSAL EN MADRID'
'167','FORTIS BANK SA SUCURSAL EN ESPAÑA'
'168','ING BELGIUM SA SUCURSAL EN ESPAÑA'
'169','BANCO DE LA NACION ARGENTINA SUCURSAL EN ESPAÑA'
'170','BANCO REAL SA SUCURSAL EN ESPAÑA'
'171','THE SUMITOMO BANK SUCURSAL EN ESPAÑA'
'172','CREDIT COMMERCIAL DE FRANCE SUCURSAL EN ESPAÑA'
'173','FIRST INTERSTATE BANK OF CALIFORNIA SUCURSAL EN ESPAÑA'
'174','BANCA INTESA SPA SUCURSAL EN ESPAÑA'
'175','THE HONGKONG & SHANGAI BANKING CORPORATION SUCURSAL EN ESPAÑA'
'176','THE BANK OF TOKYO-MITSUBISHI LTD SUCURSAL EN ESPAÑA'
'177','THE SAKURA BANK LIMITED SUCURSAL EN ESPAÑA'
'178','ROYAL BANK OF CANADA SUCURSAL EN ESPAÑA'
'179','CAISSE NATIONALE DE CREDIT AGRICOLE SUCURSAL EN ESPAÑA'
'180','BANCO PORTUGUES DO ATLANTICO SUCURSAL EN ESPAÑA'
'181','CREDITO ITALIANO SUCURSAL EN ESPAÑA'
'182','BANCO BILBAO VIZCAYA ARGENTARIA SA'
'183','JYSKE BANK (ESPAÑA) SA'
'184','BANCO EUROPEO DE FINANZAS SA'
'185','BANCO URQUIJO SABADELL BANCA PRIVADA SA'
'186','BANCO DE FINANZAS E INVERSIONES SA'
'187','BANCO UNIVERSAL SA'
'188','BANCO ALCALA SA'
'189','MIZUHO CORPORATE BANK LTD SUCURSAL EN ESPAÑA'
'190','BANCO BPI SA SUCURSAL EN ESPAÑA'
'191','EUROBANK DEL MEDITERRANEO SA EN LIQUIDACION'
'192','BANCO CREDIPAS SA'
'193','BANCA FINESOR SA'
'194','ISTITUTO BANCARIO SAN PAOLO DI TORINO SPA SUCURSAL EN ESPAÑA'
'195','THE SANWA BANK LIMITED SUCURSAL EN ESPAÑA'
'196','WESTLB AG SUCURSAL EN ESPAÑA'
'197','BANCO ESPIRITO SANTO SA SUCURSAL EN ESPAÑA'
'198','BANCO COOPERATIVO ESPAÑOL SA'
'199','CREDIT SUISSE FIRST BOSTON SUCURSAL EN ESPAÑA'
'200','PRIVAT BANK DEGROOF SA'
'201','BANCO DI NAPOLI SPA SUCURSAL EN ESPAÑA'
'202','BANCO DE NEGOCIOS ARGENTARIA SA'
'203','THE FUJI BANK LIMITED SUCURSAL EN ESPAÑA'
'205','DEUTSCHE BANK CREDIT SA'
'206','THE DAI-ICHI KANGYO BANK LIMITED SUCURSAL EN ESPAÑA'
'207','THE TOKAI BANK LIMITED SUCURSAL EN ESPAÑA'
'208','CREDIT LYONNAIS ESPAÑA SA'
'209','ABBEY NATIONAL BANK SAE'
'210','BANCO GALLEGO SA'
'211','EBN BANCO DE NEGOCIOS SA'
'212','COMPAGNIE BANCAIRE SUCURSAL EN ESPAÑA'
'213','CASSA DI RISPARMIO DELLE PROVINCIE LOMBARDE (CARIPLO) SPA SUCURSAL EN ESPAÑA'
'214','ARAB BANK PLC SUCURSAL EN ESPAÑA'
'215','DEXIA BANCO LOCAL SA'
'216','BANCO POPULAR HIPOTECARIO SA'
'217','BANCO HALIFAX HISPANIA SA'
'218','FCE BANK PLC SUCURSAL EN ESPAÑA'
'219','BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL SA'
'220','BANCO FINANTIA SOFINLOC SA'
'221','RABOBANK ESPAÑA SA'
'222','JP MORGAN BANK SA'
'223','GENERAL ELECTRIC CAPITAL BANK SA'
'224','SANTANDER CONSUMER FINANCE SA'
'225','BANCO CETELEM SA'
'226','UBS BANK SA'
'227','UNOE BANK SA'
'228','BANCO EXELBANK SA'
'229','BANCOPOPULAR-E SA'
'230','ACTIVOBANK SA'
'231','DEXIA SABADELL SA'
'232','BANCO INVERSIS SA'
'233','POPULAR BANCA PRIVADA SA'
'234','BANCO CAMINOS SA'
'235','BANCO PICHINCHA ESPAÑA SA'
'1000','INSTITUTO DE CREDITO OFICIAL'
'1001','BANCO DE CREDITO AGRICOLA SA'
'1002','BANCO DE CREDITO A LA CONSTRUCCION'
'1003','BANCO DE CREDITO INDUSTRIAL SA'
'1004','BANCO DE CREDITO LOCAL DE ESPAÑA SA'
'1005','BANCO HIPOTECARIO DE ESPAÑA SA'
'1006',''
'1101','BANCO NACIONAL DE MEXICO'
'1102','THE CHASE MANHATTAN BANK NA'
'1103','BANK OF AMERICA NA'
'1104','THE CHASE MANHATTAN BANK'
'1105','BANCO ESPAÑOL DEL RIO DE LA PLATA'
'1106','CONTINENTAL ILLINOIS NB&TC CHICAGO'
'1107','BANCO DE BOGOTA'
'1108','BANCO DE COLOMBIA'
'1109','FIRST INTERSTATE BANK OF CALIFORNIA'
'1110','FIRST WISCONSIN NATIONAL BANK'
'1111','BANCO DE CREDITO DEL PERU'
'1112','UBS AG'
'1113','BANQUE SUDAMERIS'
'1114','CHEMICAL BANK'
'1115','BAYERISCHE-HYPOTHEKEN WECHSEL (HYPOBANK)'
'1116','BANQUE SCANDINAVE EN SUISSE'
'1117','BANQUE BRUXELLES LAMBERT'
'1118','CREDIT DU NORD'
'1119','SKANDINAVISKA ENSKILDA BANKEN'
'1120','FIRST NATIONAL BANK OF CHICAGO'
'1121','BANCO DE LA CIUDAD DE BUENOS AIRES'
'1122','UNION DE BANCOS SUIZOS'
'1123','BANCO DE LA NACION ARGENTINA'
'1124','BANKERS TRUST COMPANY'
'1125','COMMERCIALE ITALIANA'
'1126','MORGAN GRENFELL & CO LIMITED'
'1127','STANDARD CHARTERED BANK'
'1128','BARCLAYS BANK INTERNATIONAL LIMITED'
'1129','BANK OF MONTREAL'
'1130','L\'EUROPEENNE DE BANQUE'
'1131','SKANDINAVISKA ENSKILDA BANKEN LONDON BRANCH'
