'1','E120528-31','223','2'
'2','02150001','223','2'
'3','E120528-35','223','2'
'4','02151002','223','2'
'5','02151001','223','2'
'6','E120528-37','223','2'
'7','02150001','223','5'
'8','02156001','223','1'
'9','02157008','223','1'
'10','02157007','223','1'
'10','02157002','223','1'
'11','02157004','223','10'
'12','02157003','223','10'
'13','02157001','223','1'
'14','E120528-31','223','2'
'15','02150001','223','4'
'16','E120528-35','223','1'
'17','02157010','223','1'
'18','02157009','223','1'
'19','02150002','223','32'
'20','02157005','223','7'
'21','02160001','223','3'
'22','02158007','223','2'
'23','E120528-35','223','2'
'24','02164002','223','1'
'25','E120528-38','223','1'
'26','E12066-106','223','1'
'27','E120611-108','223','2'
'28','02153001','223','80'
'29','02150002','223','31'
'30','02164001','223','1'
'31','02150002','223','4'
'32','02165001','223','1'
'33','02150002','223','12'
'34','02152002','223','12'
'35','02163001','223','2'
'36','E120611-108','223','1'
'37','02150001','223','2'
'38','E120528-35','223','1'
'39','02151004','223','1'
'40','02166005','223','1'
'41','02152002','223','4'
'42','E120529-90','223','4'
'43','E120528-37','223','1'
'44','02166002','223','7'
'45','02160001','223','2'
'46','02166003','223','6'
'47','02166004','223','1'
'48','02157005','223','12'
'49','02158007','223','2'
'50','02166001','223','5'
'51','02173002','223','8'
'52','02173003','223','2'
'53','02173004','223','1'
'54','02173005','223','1'
'55','02173004','223','3'
'56','02173006','223','20'
'57','E120611-108','223','1'
'58','02174002','223','4'
'59','02173007','223','5'
'60','02150002','223','2'
'61','02174001','223','1'
'62','02173007','223','6'
'63','02174001','223','1'
'64','02174002','223','2'
'65','02150001','223','4'
'66','02174006','223','200'
'67','02173001','223','150'
'68','02174003','223','25'
'69','02173007','223','10'
'70','02154001','223','1'
'71','02150002','223','4'
'72','02153003','223','1'
'73','E120528-35','223','1'
'74','E120611-108','223','1'
'75','02151004','223','1'
'76','02150001','223','1'
'77','02173009','223','1'
'78','02177004','223','25'
'79','02177005','223','1'
'80','02177003','223','3'
'81','02177006','223','4'
'82','02177007','223','4'
'83','02174004','223','4'
'84','02166003','223','1'
'85','02178001','223','1'
'86','02177008','223','12'
'87','02177001','223','1'
'88','02177001','223','1'
'89','E120528-35','223','1'
'90','E120528-38','223','1'
'91','02157005','223','20'
'92','02178004','223','2'
'93','02176001','223','20'
'94','02174004','223','20'
'94','02150002','223','3'
'95','02178005','223','25'
'96','E120530-94','223','20'
'97','02178003','223','6'
'98','02179003','223','1'
'99','02179004','223','1'
'100','02173009','223','6'
'101','E120528-35','223','1'
'102','02158005','223','1'
'103','E120611-108','223','1'
'104','02180001','223','9'
'105','02173009','223','7'
'106','02180001','223','10'
'107','02179001','223','1'
'108','02165001','223','1'
'109','02173009','223','4'
'110','02184001','223','6'
'111','E120611-108','223','1'
'112','02173009','223','4'
'113','E120528-35','223','1'
'114','02174002','223','1'
'115','02179002','223','1'
'116','02151004','223','1'
'117','02158004','223','1'
'118','02184001','223','6'
'119','02184002','223','16'
'120','02184003','223','38'
'121','E120611-108','223','1'
'122','02173009','223','4'
'123','E120528-35','223','1'
'124','02185001','223','6'
'125','02180002','223','16'
'126','02185001','223','200'
'127','02181004','223','74'
'128','E120529-90','223','264'
'129','02158007','223','3'
'130','E120611-108','223','3'
'131','E120528-38','223','2'
'132','E120528-35','223','1'
'133','02174003','223','1'
'134','02165001','223','2'
'135','02174004','223','10'
'136','02178003','223','4'
'137','02187001','223','25'
'138','02188001','223','2'
'139','02187002','223','6'
'140','02187004','223','2'
'141','02152003','223','50'
'142','E120528-35','223','30'
'143','02158007','223','30'
'144','02174003','223','10'
'145','02173001','223','100'
'146','E12074-119','223','3'
'147','02188002','223','3'
'148','02174005','223','80'
'149','02178002','223','7'
'150','02188006','223','2'
'150','02188003','223','3'
'151','02188005','223','5'
'152','E120528-35','223','1'
'153','02192004','223','1'
'154','02174004','223','4'
'155','02192003','223','10'
'156','02178002','223','10'
'157','02192001','223','16'
'158','02159001','223','40'
'159','02194002','223','10'
'160','02194003','223','2'
'161','02163001','223','3'
'162','02158007','223','3'
'163','E120528-35','223','3'
'164','E120528-38','223','3'
'165','E120611-108','223','3'
'166','02174003','223','1'
'167','02158005','223','1'
'168','02192005','223','3'
'169','02192006','223','20'
'170','02192001','223','6'
'171','02195001','223','193'
'172','02195002','223','12'
'172','02195005','223','18'
'173','02195004','223','2'
'173','02195003','223','28'
'174','02196001','223','4'
'175','02195006','223','1'
'176','02185004','223','10'
'177','02156002','223','2'
'177','02192001','223','16'
'178','02178002','223','9'
'179','02157005','223','5'
'180','02159001','223','40'
'181','02165001','223','2'
'182','E12074-119','223','6'
'183','02158007','223','2'
'184','E120528-35','223','1'
'185','02174003','223','2'
'186','02192005','223','1'
'187','02200002','223','1'
'188','02157005','223','6'
'189','02187003','223','8'
'190','02205002','223','3'
'191','02192001','223','16'
'192','02205001','223','5'
'193','02206002','223','2'
'194','02206003','223','1'
'195','02206004','223','5'
'196','02180004','223','15'
'196','02192001','223','2'
'197','02195005','223','4'
'197','02200001','223','4'
'198','E120528-38','223','1'
'199','02192005','223','8'
'200','02206001','223','4'
'201','02209003','223','20'
'202','02174005','223','40'
'203','02153001','223','80'
'203','02209002','223','20'
'204','E12074-119','223','33'
'205','02153004','223','1'
'206','02209004','223','10'
'207','02158001','223','46'
'207','02212001','223','9'
'207','02157006','223','27'
'207','02158001','223','46'
'208','02158003','223','6'
'209','02158007','223','25'
'210','02174003','223','25'
'211','02173009','223','3'
'212','E120611-108','223','1'
'213','E120528-35','223','1'
'214','E120528-37','223','1'
